,reviewID,reviewContent,rating,usefulCount,coolCount,funnyCount
2982,-ZkzDLAp-6LSdek-nU,"My husband took me to stay the night for a fun date night one year and I'm finally getting around to writing a review of this place. Well, it's the W hotel, which obviously means it's stylish, cool, trendy, all in once place with an exceptional location in Chi-town overlooking Lake Michigan. We were there in the winter so I can't speak for spending time outside the hotel facilities so we definitely took full advantage of the inside. The people at the lobby were super nice, the decor was fab-u-lous throughout and the actual hotel room was spacious, clean and had a very chic feel to it. We left as happy guests. The best part of the hotel is that it houses Wave restaurant which is like Mediterranean tapas and it's absolutely delicious and definitely cost effective. This 4 star hotel is a great location to stay for both tourists, locals and even if you're on business trips, the concierge will be friendly and polite and the bar is definitely worth checking out and if time allows, make a reservation at Wave. And I have to mention that I got a really good night's sleep when we stayed our one night, bed was super comfy and those pillows, I was seriously contemplating taking them home with me.",4,0,0,0
2983,9yStfyRS5CISu-May43dmA,"stayed at the property over the weekend, got a fantastic rate on priceline. We took the blue line to Clark/Lake and then took the taxi to the hotel. Check in process was smooth, we had a wonderful room with a view of buildings across the street. Room was nicely furnished, flat screen, high beds, window shades between bedroom and bathroom. The room smelled nice and the furnishings were in a fine condition. We got a glimpse of the rooms with a view from the elevator waiting area - it looks our directly at a beautiful beach with Navy Pier to the right. I can imagine how amazing it must be to wake up with that view in the morning. It was raining on Friday night, we asked to use the hotel umbrella when we went out for dinner but apparently they were all out. The agent at the front desk offered us her personally umbrella but we declined (I think her name was Arianna - great service). We also had forgotten the charger for our iPhones, although they weren't able to send us one for our room, it was no problem to stop by the front desk and leave it there to charge in the back. We did that for 2 nights. The welcome desk was a little chaotic the two times we needed to speak to them, and when we did their attitude wasn't entirely pleasant. That was the only minor flaw to the hotel besides the unusually slow elevators that seemed to stop at every floor every time we needed to go to the lobby. We had plans all weekend, so didn't get to use the pool, restaurants or bars on site.  We rented a zip car for 2 hours for our little excursion on Hot Doug's on Saturday morning. The car was parked a block away in a lot, very convenient. Other times we took the Red line (Chicago), explored the city on foot, and at the end of the night we took the taxi to the hotel. The W Lakeshore is located a bit far from the river and Michigan Ave. but the lake view is simply breath taking. If the weather was warmer, the pedestrian path by the lake and the beach is just across the street. Perfect for someone who wants to go for a jog or just relax by the water.",3,0,0,0
2984,Wf-7bJszS2n6REXGbrwK2w,"Overall, I think I'm less and less a fan of the W concept. This hotel has both good and bad. The rooms are very updated and comfortable, but- the soundproofing stinks. Had to swicth rooms and still was awakended by noise the next morning. The staff is very friendly, but- they are so friendly it takes them forever to check you in, so the folks behind you get to wait. The location next to the lake is great, especially if you have a lakeview, but- it's also far from everything else, with few amenities in immediate walking distance. Probably will hit up the Westin on my next stay. But if you're in the mood for the hipster scene, this might be your place to stay.",3,0,0,0
2985,ZLe,"I'd like to make a confession. I don't really like W hotels all that much, but I REALLY don't like this one. Whatever. Whenever... though personally, I'd like to put a little more emphasis on 'Whatever'. I don't like walking into what looks like a club with blasting music and $16 martinis in the morning. I don't like feeling like you have to be sexy at 8am, 2pm and 4:00am in the morning after you've been rained on all day/night and the concierge at W hotel has the nerve to recommend the Hangge-Uppe as a decent after hours bar... for that cruel joke I should actually give 1-star but I'll be kind regardless of what my ovulation cycle is telling me. I will say that I do enjoy the quirky rooms at most W locations, though I feel like this W is lacking the quirky and leaning more towards stuffy. I don't like being ignored by the bartender or being carded by the same one twice in less than hour after not moving seats. Never has there ever been a more invisible neon orange-haired person than at the W Lakeshore's bar. I know most people probably come here from out of town, but my experience was for a weekend-long and God-forsaken bachelorette party so I was more than non-plussed when I found out that parking here over the weekend would cost me close to $200... a price that I simply can't afford, and would refuse to pay for parking anywhere regardless. I ended up hitching a ride with the bride and husband-to-be so that worked out, but then we'll get into the nitty-gritty of paying what the room rate for this hotel is vs what you get. On a typical rainy, chilly and windy as f*ck Chicago day, I wouldn't consider the W Lakeshore to have much of a view. Looking out the windows to the stormy, grey Chicago days outside was like taking a photo of depression and charging people $400 a night to look at it. No thanks. Waiting for a cab at their cab stand was brutal. We basically had to add 15-20 minutes onto any of our travel times to accommodate the long lines here, and the car service they had was never available at any point from Thursday-Sunday, sooo don't count on trying to save any scratch or be able to take advantage of any of of the perks. The front desk told me that the best way to be able to get a reservation in with them was to come down a half hour before the concierge opens and wait in line to try and get a booking. Uhm, I don't know about you, but getting up and going down to the club atmosphere lobby at 7:30am and waiting in line for 30 minutes to ask for a ride. F*ck that noise. Oh and for the price of the room on weekend, I was expecting a bowling alley in there or something, not just 2 beds, very little room and a bathroom with ZERO privacy that actually has a window you can open to see people on the toilet. Kinky... but not totally my thing. I just don't dig it and I don't know that I ever will.",3,21,11,16
2986,vURf9AGmThDrRC9TVcQrdw,"The good:  the view; location The bad:  service non-existent (or rude when you get someone's attention) Dirty, dingy, tired rooms (stains on sheets, walls, really foul) Cheap furniture Air conditioning erratic and LOUD Poor lighting (don't even try to shave in the bathroom); dimly lit elevators Constant barrage of music. Very dated atmosphere. So many better choices (and cheaper).",1,0,0,0
2987,NwZ6u5xqXJGfPNHeKFJVhQ,"Great service, beautiful hotel and rooms! The lobby felt like a nightclub! Very hip!",4,0,0,0
2988,E1j78xcwMYnymNRlfse-EQ,"You cannot go wrong with a W Hotel. It is stylish, fancy, cool, chic, all in one. In addition, it is in a great location in Chicago, overlooking Lake Michigan. The hotel itself counts with a great swimming pool, excellent fitness facilities and a great restaurant in the lobby. While most of front desk's staff is very friendly, there were occasions that I had to deal with arrogant ones, as if we were doing a favor in staying at the hotel. One last reason for not receiving a five-star is that, on some occasions that I had stayed there, the floor of the room would be wet or the internet would be extremely slow that I would just give up using it altogether. All in all, it is a great hotel. With its brand, we would expect nothing but perfection. That is why, a five-star is not granted just yet.",4,2,0,0
2989,kv-eRN6LOX2-oUfnEMd0uA,"Pro's Water views Navy Pier Views Rides via Acura service Nice Room Con's $30 for wifi for two night stay $55 for parking LOUD tecno music at 7:30 AM when everyone is hungover is not necessary.  I get their trying to be hip, but no one wants to hear it in the morning.",3,1,1,2
2990,40gDUe2eVedqCXqDS8cnmA,"Amazing views and location.  The room was nice, though the shutters in the bathroom over doors were a little strange for sharing the room with someone.  The valet was $55, so factor that into your price.  The concierge and front desk staff, like other W hotels, seem to be hired for coolness and not necessarily knowledge and friendliness, but they at least tried to help somewhat.   You can't be the location or the views though, and it's a clean and updated hotel with excellent amenities.  Also, the Whiskey Bar has a fantastic view.",4,0,0,0
2991,C2,"Not my fave W:-( Lobby is just OK. Rooms are just OK. Rarely get a decent upgrade even with status! Their bar on the top floor sucks! Lobby bar is OK. And they serve bar snacks in huge community bowls. YUCK! Unfortunately, nothing to really rave about.",3,0,0,0
